ID;Label
1;Abdullaeva A.Z.
2;Gadzhiakhmedov N.È.
3;Kadyradžiev K.S.
4;Kerimov I.A.
5;Khangishiev D.M.
6;Abitov M.L.
7;Balkarov B.Kh.
8;Desheriev Y.D.
9;Elberdov Kh.U.
10;Kardanov B.M.
11;Kuasheva T.Kh.
12;Alekseev M.E.
13;Ataev B.M.
14;Madieva G.I.
15;Magomedov M.A.
16;Magomedov M.I.
17;Saidova P.A.
18;Klimov G.A.
19;Starostin S.A.
20;Ganenkov D.S.
21;Lander Yu.A.
22;Alisultanov A.S.
23;Alparslan O.
24;Amiridze Nino
25;Apazhev M.L.
26;Aronson H.I.
27;Arştaa Sh.K.
28;Authier Gilles
29;Bakuradze L.
30;Beridze M.
31;Bekova A.I.
32;Dudarov U.B.
33;Ilieva F.M.
34;Malsagova L.D.
35;Ben-Oren G.
36;Bernard Comrie
37;Khalilov M.Sh.
38;Bert Vaux
39;Bolkvadze T.
40;Butshrikidze M.
41;Bybee J.
42;Pagliuca W.
43;Chikobava A.S.
44;Brown D.
45;Chumakina M.E.
46;Corbett G.G.
47;Clifton J.M.
48;Deckinga G.
49;Lucht L.
50;Mak J.
51;Comrie B.
52;Canisvili P.G.
53;Daniel M.A.
54;Dobrushina N.R.
55;Daragan J.V.
56;Davies I.R.L.
57;Kibrik A.E.
58;Dotton Z.
59;Dzhidalaev N.S.
60;Ehsan Ya.
61;Fähnrich H.
62;Odischelidse N.
63;Forker D.
64;Gabunia Z.M.
65;Gajdarov R.I.
66;Gyulmagomedov A.G.
67;Mejlanova U.A.
68;Gamarshah J.
69;Maisak T.A.
70;Chitaj G.S.
71;Eremyan S.T.
72;Gardanov B.A.
73;Guliev A.N.
74;Lavrov L.I.
75;Bucaklishi I.A.
76;Gudjedjiani Ch.
77;Gvarjaladze I.
78;Handel Z.
79;Harris A.C.
80;Dryer M.
81;Gil D.
82;Hauk B.
83;Brenzinger M.
84;Hewitt G.
85;Gagua R.
86;Hümmətov İ.
87;Ibragimov G.Kh.
88;Isakov I.A.
89;Jaimoukha A.M.
90;Jost G.
91;Schultze W.
92;Aleksidze Z.
93;Mahé Jean-Pierre
94;Kadagidze D.
95;Fähnrich, Heinz
96;Kalmykova S.A.
97;Karasaev A.T.
98;Bicoev A.T.
99;Karimova R.Sh.
100;Kaye S.
101;Martynova A.S.
102;Moroz G.A.
103;Rochant N.
104;Verhees S.
105;Kazenin K.I.
106;Khanmagomedov B.G.-K.
107;Lyutikova E.A.
108;Kodzasov S.V.
109;Olovyannikova I.P.
110;Eulenberg A.
111;Kipshidze I.
112;Bezhashvili M.
113;Komen E.R.
114;Molochieva Z.
115;Korneli D.
116;Khashaev X.O.
117;Kosven M.O.
118;Kumahov M.A.
119;Genç N.S.
120;Hornberger S.
121;Kuske A.
122;Kutscher S.
123;Liu Hsin-Yun
124;Mattissen J.
125;Stathi E.
126;Lipkin S.
127;Clifton, Deborah A.
128;Kirk P.
129;Enoch R.
130;Klychev R.
131;Bonch-Osmolovskaja A.
132;I. S.A.
133;Magomedov M.
134;Abdulaeva I.A.
135;Khalidova R.Sh.
136;Malherbe M.
137;Bond O.
138;Matsiev A.G.
139;Koncha K.
140;Naccarato Ch.
141;Nichols J.
142;Dzhamalkhanob Z.D.
143;Maciev A.G.
144;Pöchtrager M.
145;Batouka N.
146;Guérin F.
147;Polinsky Maria
148;Ramat A.G
149;Robins R.H.
150;Kieresce Z.I.
151;Abusov M.G.
152;Kondzharia V.H.
153;Barlas C.
154;Krosigk E.
155;Paskushova E.
156;Levina R.
157;Sevortjan E.V.
158;Met N.
159;Sosenskaja T.
160;Sulajbanov G.R.
161;Mutalov R.O.
162;Gadzhiev M.M.
163;Kaldani M.
164;Marchev Y.
165;Tsagov M.
166;Tchantouria R.
167;Aschamaf D.
168;Efendiev I.I.
169;Ekba N.
170;Olmesov N.X.
171;Rogave G.V.
172;Samedov Dzh.S.
173;Azaev Kh.G.
174;Testelets Ya.G.
175;Radzhabov R.N.
176;Seichov E.
177;Sichalieva S.
178;Islamov R.
179;Sulejmanova T.A.
180;Dumézil G.
181;Leuschner T.
182;Kokov Dzh.N.
183;Kiziria D.
184;Ǧkadua L.P.
185;Haciyev A.
186;Pourtskhvanidze Z.
187;Tarieva M.U.
188;Moskovich W.
189;Khalilova Z.M.
190;Pesiypa Z.
191;J. van de Weijer
192;Perkins R.
193;Tsertsvadze I.I.
194;Quilliam H.
195;Tiessen C.
196;Culejskiri V.G.
197;Tatevosov S.G.
198;Wagner J.D.
199;Magomedova Z.M.
200;Reineck N.
201;Sarveladze S.
202;Gadzhimuradov G.A.
203;Sakieva R.
204;Talibov B.B.
205;Huseinov R.
206;Merdanova S.R.
207;Nersesov G.A.
208;Genko A.N.
209;Gôichi K.
210;Palmaitis M.L.
211;Gvarjaladze T.
212;Samuel A.G.
213;Haspelmath M.
214;Rentz B.
215;Heine B.
216;Watson E.
217;Holisky D.A.
218;Rind-Pawlowski M.
219;Nurmamedov J.M.
220;Tandaschwili M.
221;Schulze W.
222;Kadagidze N.
223;Kadchaia O.
224;Sarueva M.F.
225;Shogantsukov A.O.
226;Məlikməmmədov M.N.
227;Zakirova A.N.
228;Shalbuzov K.T.
229;Qipshije I.
230;Kiria Ch.
231;Vamling Karina
232;Wodarg A.
233;Obrabovic S.
234;Ljøkjell R.
235;Lomtadze T.
236;Lomtatidze K.V.
237;Magomaeva Kh.M.
238;Magomedov A.D.
239;Sulejmanov B.
240;Magomedova P.T.
241;Rosenberg S.
242;Marina Chumakina
243;O'Sullivan P.A.
244;Melenchenko M.
245;Vagapov A.D.
246;Ozdoev I.A.
247;Öztürk Balkız
248;Paris C.
249;Partchieva P.
250;Potsdam E.
251;Topadze M.
252;Waterson N.
253;Sakryl K.S.
254;Savas M.R.
255;Schiefner A.
256;Shamilov S.
257;Sharafutdinova R.
258;Shiraliev M.Sh.
259;Sirazhutdinova K.K.
260;Smeets R.
261;Sumbatova N.R.
262;Topuria V.
263;Tschenkeli K.
264;Turchaninov G.
265;Yakovlev N.N.
266;Zabitov S.M.
267;Zhirov Kh.
