Source;Target;Type;Weight
1;3;undirected;1
2;71;undirected;1
3;14;undirected;1
3;14;undirected;1
4;3;undirected;1
4;14;undirected;1
3;14;undirected;1
5;72;undirected;1
6;230;undirected;1
7;8;undirected;1
7;114;undirected;1
8;114;undirected;1
3;71;undirected;1
9;119;undirected;1
2;10;undirected;1
2;3;undirected;1
10;3;undirected;1
11;12;undirected;1
11;231;undirected;1
12;231;undirected;1
13;232;undirected;1
14;233;undirected;1
2;3;undirected;1
15;16;undirected;1
15;17;undirected;1
15;20;undirected;1
16;17;undirected;1
16;20;undirected;1
17;20;undirected;1
18;234;undirected;1
19;20;undirected;1
19;18;undirected;1
19;234;undirected;1
20;18;undirected;1
20;234;undirected;1
18;234;undirected;1
4;235;undirected;1
2;3;undirected;1
14;233;undirected;1
14;233;undirected;1
14;234;undirected;1
14;234;undirected;1
14;234;undirected;1
21;236;undirected;1
14;233;undirected;1
17;14;undirected;1
11;19;undirected;1
11;237;undirected;1
19;237;undirected;1
22;8;undirected;1
22;114;undirected;1
8;114;undirected;1
4;14;undirected;1
4;233;undirected;1
14;233;undirected;1
23;238;undirected;1
11;14;undirected;1
11;24;undirected;1
11;25;undirected;1
11;56;undirected;1
24;25;undirected;1
24;56;undirected;1
25;56;undirected;1
14;233;undirected;1
17;14;undirected;1
17;233;undirected;1
14;233;undirected;1
17;14;undirected;1
17;233;undirected;1
14;233;undirected;1
14;234;undirected;1
14;233;undirected;1
26;27;undirected;1
26;28;undirected;1
26;29;undirected;1
26;30;undirected;1
26;31;undirected;1
26;32;undirected;1
26;33;undirected;1
26;34;undirected;1
26;35;undirected;1
26;36;undirected;1
26;37;undirected;1
26;23;undirected;1
26;38;undirected;1
26;39;undirected;1
26;40;undirected;1
26;41;undirected;1
26;239;undirected;1
27;28;undirected;1
27;29;undirected;1
27;30;undirected;1
27;31;undirected;1
27;32;undirected;1
27;33;undirected;1
27;34;undirected;1
27;35;undirected;1
27;36;undirected;1
27;37;undirected;1
27;23;undirected;1
27;38;undirected;1
27;39;undirected;1
27;40;undirected;1
27;41;undirected;1
27;239;undirected;1
28;29;undirected;1
28;30;undirected;1
28;31;undirected;1
28;32;undirected;1
28;33;undirected;1
28;34;undirected;1
28;35;undirected;1
28;36;undirected;1
28;37;undirected;1
28;23;undirected;1
28;38;undirected;1
28;39;undirected;1
28;40;undirected;1
28;41;undirected;1
28;239;undirected;1
29;30;undirected;1
29;31;undirected;1
29;32;undirected;1
29;33;undirected;1
29;34;undirected;1
29;35;undirected;1
29;36;undirected;1
29;37;undirected;1
29;23;undirected;1
29;38;undirected;1
29;39;undirected;1
29;40;undirected;1
29;41;undirected;1
29;239;undirected;1
30;31;undirected;1
30;32;undirected;1
30;33;undirected;1
30;34;undirected;1
30;35;undirected;1
30;36;undirected;1
30;37;undirected;1
30;23;undirected;1
30;38;undirected;1
30;39;undirected;1
30;40;undirected;1
30;41;undirected;1
30;239;undirected;1
31;32;undirected;1
31;33;undirected;1
31;34;undirected;1
31;35;undirected;1
31;36;undirected;1
31;37;undirected;1
31;23;undirected;1
31;38;undirected;1
31;39;undirected;1
31;40;undirected;1
31;41;undirected;1
31;239;undirected;1
32;33;undirected;1
32;34;undirected;1
32;35;undirected;1
32;36;undirected;1
32;37;undirected;1
32;23;undirected;1
32;38;undirected;1
32;39;undirected;1
32;40;undirected;1
32;41;undirected;1
32;239;undirected;1
33;34;undirected;1
33;35;undirected;1
33;36;undirected;1
33;37;undirected;1
33;23;undirected;1
33;38;undirected;1
33;39;undirected;1
33;40;undirected;1
33;41;undirected;1
33;239;undirected;1
34;35;undirected;1
34;36;undirected;1
34;37;undirected;1
34;23;undirected;1
34;38;undirected;1
34;39;undirected;1
34;40;undirected;1
34;41;undirected;1
34;239;undirected;1
35;36;undirected;1
35;37;undirected;1
35;23;undirected;1
35;38;undirected;1
35;39;undirected;1
35;40;undirected;1
35;41;undirected;1
35;239;undirected;1
36;37;undirected;1
36;23;undirected;1
36;38;undirected;1
36;39;undirected;1
36;40;undirected;1
36;41;undirected;1
36;239;undirected;1
37;23;undirected;1
37;38;undirected;1
37;39;undirected;1
37;40;undirected;1
37;41;undirected;1
37;239;undirected;1
23;38;undirected;1
23;39;undirected;1
23;40;undirected;1
23;41;undirected;1
23;239;undirected;1
38;39;undirected;1
38;40;undirected;1
38;41;undirected;1
38;239;undirected;1
39;40;undirected;1
39;41;undirected;1
39;239;undirected;1
40;41;undirected;1
40;239;undirected;1
41;239;undirected;1
42;23;undirected;1
11;43;undirected;1
11;240;undirected;1
43;240;undirected;1
44;45;undirected;1
44;46;undirected;1
44;241;undirected;1
45;46;undirected;1
45;241;undirected;1
46;241;undirected;1
4;3;undirected;1
4;14;undirected;1
3;14;undirected;1
17;47;undirected;1
17;48;undirected;1
17;20;undirected;1
17;242;undirected;1
47;48;undirected;1
47;20;undirected;1
