ID;Label
1;Bylinina L.
2;Arkadiev P.M.
3;Lander Yu.A.
4;Ganenkov D.S.
5;Belyaev O.I.
6;Polinsky Maria
7;Comrie B.
8;Khalilov M.Sh.
9;Dum-Tragut J.
10;Bagirokova I.
11;Alekseev M.E.
12;Ataev B.M.
13;Dobrushina N.R.
14;Maisak T.A.
15;Arkhipov A.V.
16;Chumakina M.E.
17;Daniel M.A.
18;Lyutikova E.A.
19;Kazenin K.I.
20;Kibrik A.E.
21;Toldova S.Yu.
22;Abdullaev A.K.
23;Makhmudova S.M.
24;Klimov G.A.
25;Starostin S.A.
26;Alieva Z.M.
27;Bazieva Z.M.
28;Dzhalilova A.B.
29;Gadzhiakhmedov T.I.
30;Gasanova M.A.
31;Gasanova U.U.
32;Gusejnov G.M.
33;Israpilov P.
34;Kerimova K.R.
35;Khangereev M-BD-G.
36;Kusegenova F.A.
37;Magdilova R.A.
38;Mudunova G.A.
39;Sirazhutdinov R.M.
40;Soltakhanov I.E.
41;Sulejmanova G.P.
42;Kurbanov S.
43;Mejlanova U.A.
44;Ganieva F.A.
45;Otsomieva-Tagirova Z.M.
46;Sichalieva S.
47;Edelman D.I.
48;Ivanov V.V.
49;Kamilova R.M.
50;Alekseeva A.P.
51;Ivanova A.D.
52;Bashirova R.S.
53;Hess D.J.
54;Moroz G.A.
55;Kibrik A.A.
56;Testelets Ya.G.
57;Strokin G.S.
58;Magomedov M.I.
59;Khurshudyan V.G.
60;Brown D.
61;Corbett G.G.
62;Koncha K.
63;Abdulmutalibov N.Sh.
64;Bagomedov M.R.
65;Eldarova R.G.
66;Ivanov M.Yu.
67;Pazelskaya A.G.
68;Shluinskij A.B.
69;Kodzasov S.V.
70;Majers T.
71;Letuchiy A.B.
72;Forker D.
73;Gadzhimuradov G.A.
74;Chirikba V.A.
75;Schulze W.
76;Amirejibi R.
77;Makharoblidze T.
78;Esling J.H.
79;Asatiani R.
80;Clarke N.
81;Lau Ellen
82;Hakim J.
83;Konnerth L.
84;Amiridze Nino
85;Reseck T.
86;Melikishvili D.
87;Demirok Ö.
88;Bogomolova N.
89;Alikberov A.K.
90;Gadzhiev Maksud
91;Gamkrelidze T.
92;Gérardin H.
93;Caponigro I.
94;Aleksanyan A.
95;Botkoveli N.
96;Gonashvili I.
97;Lebanidze B.
98;Pfeilschifter V.
99;Helma Van den Berg
100;Arkadiev P.M.and Lander Yu.A.
101;Kyuseva M.
102;Bond O.
103;Damenia T.
104;Doborjginidze Nino
105;Kalkhitashvili T.
106;Tchintcharauli T.
107;Bill Cory
108;Driemel I.
109;Gonzalez A.
110;Belokon A.
111;Tchantouria R.
112;Hartmann I.
113;Haspelmath M.
114;Khalilova Z.M.
115;Bukhrashvili P.
116;Anker Felix
117;Koshevoj A.G.
118;Kock-Kobaidze M.
119;Gippert J.
120;Daniel M.
121;Komen E.R.
122;Molochieva Z.
123;Kumahov M.A.
124;Davies I.R.L.
125;Lobzhanidze I.
126;Panova A.B.
127;Aronson H.I.
128;Holisky D.A.
129;Andersson S.
130;Pysipa Z.
131;Baranova A.I.
132;Bulakh M.
133;Gruntov I.
134;Rousseau M.
135;Korotkova N.
136;Hauk B.
137;Leonard J.L.
138;Shavkhelishvili B.
139;Chukhua M.
140;Kumakhova Z.
141;Brykina M.
142;Orlova S.
143;Jannigje H.
144;Petersson Bo
145;Fery C.
146;Hyman L.
147;Borise L.
148;Casper de Groot
149;Dahl Östen
150;Koryakov Yu.B.
151;Kozhukhar A.A.
152;Chechuro I.Yu.
153;Koile Ezequiel
154;Gurevich O.
155;Gunia I.
156;Eulenberg A.
157;Göksel A.
158;Emgin B.
159;Bugenhagen R.D.
160;Kutscher S.
161;Lacroix R.
162;Enoch R.
163;Lukianowicz A.
164;Tomelleri V.S.
165;Mataradze N.
166;Gersamia R.
167;Conathan L.
168;Roland Pfau
169;Acquaviva P.
170;Taylan E.E.
171;Archvadze T.
172;Manana Kobaidze
173;Pöchtrager M.
174;Ömer E.
175;Allassonnière-Tang M.
176;Bellamy K.
177;Rochant N.
178;Everson M.
179;Arkhangelskiy T.
180;Cysouw M.
181;Minkov M.
182;Protassova E.
183;Revaz Tchantouria
184;Clifton J.M.
185;Deckinga G.
186;Lucht L.
187;Cereteli G.F.
188;Alikhanov S.Z.
189;Madieva G.I.
190;Magomedov M.A.
191;Saidova P.A.
192;Akhiezer G.
193;Bickel B.
194;Authier Gilles
195;Imedadze N.
196;Gagliardi A.
197;Lidz J.
198;Gonzalez M.
199;Aleksidze Z.
200;Mahé Jean-Pierre
201;Ramat A.G.
202;Choloqashvili R.
203;Mak J.
204;Gutz A.
205;Malyshev V.
206;Malysheva V.
207;Novaya I.
208;Panina A.
209;Tiessen C.
210;Clifton D.A.
211;Kirk P.
212;Konovalova A.
213;Okumus R.
214;Chutkerashvili A.
215;Dundua B.
216;Pilvik M-L.
217;Filatov K.
218;Mukhin T.
219;Naccarato Ch.
220;Eskander R.
221;Khandagale S.
222;Klavans J.
223;Lowry C.
224;Muresan S.
225;Svantesson Jan-Olof
226;Magnusson Märta-Lisa
227;Mamonova T.
228;Sumbatova N.R.
229;Karimova R.Sh.
230;Potsdam E.
231;Magomedkhanov M.M.
232;Zakirova A.N.
233;Merdanova S.R.
234;Tatevosov S.G.
235;Mazurova Yu.V.
236;Vagizieva N.A.
237;Sulejmanov M.
238;Uruzhbekova M.M.
239;Sultanmuradova N.E.
240;Sheikhov E.M.
241;Temirbulatova S.M.
242;Tsereteli T.K.
243;Gerasimov D.V.
244;Zygmont A.I.
245;Magomedova P.M.
246;Zosimova L.P.
247;Rostovtsev-Popiel A.
248;Quilliam H.
249;Melenchenko M.
250;Nakhimovskij A.D.
251;Talibov B.B.
252;Kalimova G.
253;Tuite K.J.
254;Pfau Roland
255;Socolof Michaela
256;Öpengin E.
257;Topadze M.
258;Vamling Karina
259;Öztürk Balkız
260;Mirzekhanov V.S.
261;Shanidze A.G.
262;Williams T.G.
263;Ryzhova D.
264;Tsintsadze N.
265;Staferova D.
266;Taylor B.
267;Radkevich N.B.
268;Leuschner T.
269;Shurov I.
270;Nichols J.
271;Sosenskaja T.
272;Baratashvili Z.
273;Mirianashvili G.
274;Ruprecht von Waldenfels
275;Verhees S.
276;Vaux Bert
277;Zalizniak A.
278;Muller Andre
279;Kibort A.
280;Klyagina E.
281;Stabile C.
282;Nasledskova P.
283;Sheshani A.A.
284;Zimmermann M.
285;Pourtskhvanidze Z.
286;Tandaschwili M.
287;Tommola Hannu
288;Kojima Y.
289;Shklovskij Kirill
290;Shiryaev A.
291;Knyazev S.V.
292;Foley S.
293;Lomtadze T.
294;Myasnitskaya U.l.
295;Tatishvili E.
296;Good Jeff
297;Zeijlstra Hedde
298;Nanitashvili E.
299;Phelan P.
300;Everaert M.
301;Schreur J.W.
302;Durneva S.
303;Schwartz M.
304;Schiborr N.N.
305;Friedman V.
306;Grenoble L.
307;Macavariani G.
308;Samedov Dzh.S.
309;Weinstein S.
310;Môrag S.
311;Thomson R.W.
312;Kultepina O.A.
313;Yurkova A.
314;Ljøkjell R.
315;Temnikova I.
316;Radzhabov R.N.
317;Rentz B.
318;Naccarato Ch.and Verhees S.
319;Kutsia T.
320;Stoynova N.
