ID;Label
1;Abakarova F.O.
2;Abasadse N.L.
3;Abashiya R.
4;Abashvili V.
5;Abduallaev E.
6;Abdulaev A.K.
7;Abdulaeva I.A.
8;Abdulaeva Z.A.
9;Abdulkadyrov N.
10;Abdullaev A.K.
11;Abdullaev I.Kh.
12;Abdullaev I.Sh.
13;Abdullaev S.N.
14;Abdullaev Z.G.
15;Abdullaeva A.Z.
16;Abdullaeva Z.R.
17;Abdulmedzhidova R.A.
18;Abdulmutalibov N.Sh.
19;Abdulpatakhova Layuzat
20;Abdulzhalilov I.G.
21;Abdurakhmanova A.M.
22;Abdusalamov A.A.
23;Abdusalamova R.A.
24;Abitov M.L.
25;Abshilov A.
26;Abusov M.G.
27;Acquaviva P.
28;Adelung J.Ch.
29;Adukhova E.Z.
30;Adzhiev A.M.
31;Ager S.
32;Ajtemirova A.Kh.
33;Akhiezer G.
34;Akhmedilova A.M.
35;Akhmedov A.A.
36;Akhmedov G.I.
37;Aleksanyan A.
38;Alekseev M.E.
39;Alekseeva A.P.
40;Aleksidze Z.
41;Aliev Abdulnasir
42;Alieva Z.M.
43;Alikberov A.K.
44;Alikhanov S.Z.
45;Aliroev I.J.
46;Alisultanov A.S.
47;Alisultanova M.A.
48;Aliverdieva S.A.
49;Allassonnière-Tang M.
50;Allen W.E.D.
51;Alparslan O.
52;Alpatov V.M.
53;Amirejibi R.
54;Amiridze Nino
55;Anderson G.D.S.
56;Anderson R.D.
57;Andersson S.
58;Anker Felix
59;Apazhev M.L.
60;Archvadze T.
61;Ardoteli N.A.
62;Aristava Sh.K.
63;Arkadiev P.M.
64;Arkhangelskiy T.
65;Arkhipov A.V.
66;Aronson H.I.
67;Arsakhanov I.A.
68;Arştaa Sh.K.
69;Asadova G.N.
70;Asaliev D.A.
71;Asatiani R.
72;Aschamaf D.
73;Askhabov M.-R.M.
74;Assatiani I.
75;Asvedova Zh.
76;Ataev B.M.
77;Ataeva M.B.
78;Ausev M.A.
79;Authier Gilles
80;Avdulov N.S.
81;Ayla Ayda Bozkurt Applebaum
82;Azaev Kh.G.
83;Azmajparashvili L.
84;Babaliyeva A.
85;Bagirokova I.
86;Bagomedov M.R.
87;Baisoultanov B.D.
88;Bakuradze L.
89;Balkarov B.Kh.
90;Bammatov B.G.
91;Baranova A.I.
92;Baratashvili Z.
93;Barlas C.
94;Barylnikova D.
95;Bashirova R.S.
96;Baskakov N.A.
97;Batouka N.
98;Bazieva Z.M.
99;Bekova A.I.
100;Bektemirova P.M.
101;Bellamy K.
102;Belokon A.
103;Belyaev M.V.
104;Belyaev O.I.
105;Ben-Oren G.
106;Beridze M.
107;Bezhashvili M.
108;Bghazhba X.S.
109;Bickel B.
110;Bicoev A.T.
111;Bill Cory
112;Boeder W.
113;Bogomolova N.
