ID;Label
1;Abakarova F.O.
2;Abasadse N.L.
3;Abashiya R.
4;Abashvili V.
5;Abduallaev E.
6;Abdulaev A.K.
7;Abdullaev I.Kh.
8;Comrie B.
9;Muller Andre
10;Gagliardi A.
11;Magomedov M.I.
12;Abdulaeva I.A.
13;Abdulaeva Z.A.
14;Abdulkadyrov N.
15;Abdullaev A.K.
16;Khalilov M.Sh.
17;Gamzatov G.G.
18;Isaev M.-Sh.A.
19;Gyulmagomedov A.G.
20;Abdullaev I.Sh.
21;Abdullaev S.N.
22;Abdullaev Z.G.
23;Abdullaeva A.Z.
24;Gadzhiakhmedov N.È.
25;Kadyradžiev K.S.
26;Kerimov I.A.
27;Khangishiev D.M.
28;Abdullaeva Z.R.
29;Abdulmedzhidova R.A.
30;Abdulmutalibov N.Sh.
31;Bagomedov M.R.
32;Eldarova R.G.
33;Abdulpatakhova Layuzat
34;Abdulzhalilov I.G.
35;Khalunov A.N.
36;Abdurakhmanova A.M.
37;Abdusalamov A.A.
38;Abitov M.L.
39;Balkarov B.Kh.
40;Desheriev Y.D.
41;Elberdov Kh.U.
42;Kardanov B.M.
43;Kuasheva T.Kh.
44;Abshilov A.
45;Abusov M.G.
46;Acquaviva P.
47;Bagirokova I.
48;Daniel M.A.
49;Lander Yu.A.
50;Adelung J.Ch.
51;Adukhova E.Z.
52;Adzhiev A.M.
53;Ager S.
54;Ajtemirova A.Kh.
55;Akhiezer G.
56;Enoch R.
57;Akhmedilova A.M.
58;Akhmedov A.A.
59;Akhmedov G.I.
60;Aleksanyan A.
61;Botkoveli N.
62;Forker D.
63;Gonashvili I.
64;Lebanidze B.
65;Pfeilschifter V.
66;Alekseev M.E.
67;Alikhanov S.Z.
68;Ataev B.M.
69;Madieva G.I.
70;Magomedov M.A.
71;Saidova P.A.
72;Ganenkov D.S.
73;Kazenin K.I.
74;Klimov G.A.
75;Starostin S.A.
76;Mejlanova U.A.
77;Alekseeva A.P.
78;Dobrushina N.R.
79;Ivanova A.D.
80;Aleksidze Z.
81;Gippert J.
82;Mahé Jean-Pierre
83;Schulze W.
84;Jost G.
85;Aliev Abdulnasir
86;Alieva Z.M.
87;Bazieva Z.M.
88;Dzhalilova A.B.
89;Gadzhiakhmedov T.I.
90;Gasanova M.A.
91;Gasanova U.U.
92;Gusejnov G.M.
93;Israpilov P.
94;Kerimova K.R.
95;Khangereev M-BD-G.
96;Kusegenova F.A.
97;Magdilova R.A.
98;Makhmudova S.M.
99;Mudunova G.A.
100;Sirazhutdinov R.M.
101;Soltakhanov I.E.
102;Sulejmanova G.P.
103;Otsomieva-Tagirova Z.M.
104;Alikberov A.K.
105;Gadzhiev Maksud
106;Maisak T.A.
107;Aliroev I.J.
108;Alisultanov A.S.
109;Alisultanova M.A.
